A16_LM.UTCModJulian,A16_LM.UTCGregorian,A16_LM.Luna.Longitude,A16_LM.Luna.Latitude,A16_LM.Luna.Altitude,A16_LM.LunaFixed.PlanetodeticAZI,A16_LM.LunaFixed.PlanetodeticHFPA
11467.69037172302,30 May 1972 04:34:08.117,99.60422830676635,9.983139102680799,9.779525739029623,-88.44498661656641,-2.9975758764067e-07
11467.69037183876,30 May 1972 04:34:08.127,99.60365410043222,9.983154454018848,9.779525743472505,-88.44508583483925,2.985430819535395e-05
11467.69037287621,30 May 1972 04:34:08.217,99.59850716109213,9.983292013033964,9.779526188984619,-88.44597519402707,0.0003001334330718919
11467.69038049272,30 May 1972 04:34:08.875,99.5607204536616,9.984299501697034,9.779551801762409,-88.45250500365619,0.002283912470062433
11467.69042049252,30 May 1972 04:34:12.331,99.36227110881713,9.98952091557625,9.780331307567394,-88.48681247062699,0.01268758522527946
11467.69057342559,30 May 1972 04:34:25.544,98.60347825260763,10.00840399562335,9.793269316282931,-88.61817748400412,0.05229655644794207
11467.6907267669,30 May 1972 04:34:38.793,97.84259563496302,10.02561518987594,9.822078091889352,-88.7501258121425,0.09215035393098958
11467.69087699848,30 May 1972 04:34:51.773,97.09710425075362,10.04080217413155,9.865810379987352,-88.8795419873923,0.1316038173946055
11467.69102891733,30 May 1972 04:35:04.898,96.34321875901934,10.05447206372944,9.925733056769104,-89.01050618816981,0.1714836491963609
11467.69118373647,30 May 1972 04:35:18.275,95.57493802303561,10.06665572669463,10.00295314417417,-89.14405856352299,0.2118038430597409
11467.69135078215,30 May 1972 04:35:32.708,94.74600762668267,10.07782196949649,10.10444676533234,-89.28827686377933,0.2551727639726238
11467.69154297944,30 May 1972 04:35:49.313,93.79233516777669,10.08812515281018,10.24453988594269,-89.45436803687393,0.3050803564081548
11467.69173234913,30 May 1972 04:36:05.675,92.85280384526601,10.09561257483017,10.4069486806643,-89.6180921091386,0.3541624422056913
11467.69190399218,30 May 1972 04:36:20.505,92.00135032964413,10.10011450951679,10.57501963914888,-89.76650496961931,0.398598937910549
11467.69206959104,30 May 1972 04:36:34.813,91.18002532315408,10.10239906740627,10.75594134229164,-89.90975034854721,0.441355853961511
11467.69223316618,30 May 1972 04:36:48.946,90.36890470355503,10.10267086904798,10.95268185692612,-90.05123387872256,0.4834491314150426
11467.69239689519,30 May 1972 04:37:03.092,89.55721456292618,10.1009696885324,11.16749745356742,-90.19269120108591,0.5254812963987661
11467.69256044486,30 May 1972 04:37:17.222,88.74663225791437,10.09730250858337,11.39988654856779,-90.3338940781296,0.5673123462057816
11467.69272534824,30 May 1972 04:37:31.470,87.92958833146741,10.09161541700475,11.65214709783572,-90.47625918424738,0.6093466832704735
11467.69289149466,30 May 1972 04:37:45.825,87.10666480918646,10.08386698488629,11.92446264975456,-90.61958722864047,0.6515312006159064
11467.69305859657,30 May 1972 04:38:00.263,86.27932122063882,10.07403484982169,12.21665556319476,-90.76344121841005,0.6939048093924782
11467.693228024,30 May 1972 04:38:14.901,85.4408146185901,10.06198483546885,12.53169198706155,-90.90892214728439,0.7370729889538552
11467.69339712851,30 May 1972 04:38:29.512,84.60428552071917,10.04787485166204,12.86505536757386,-91.05385870420317,0.7802680593408837
11467.69356432511,30 May 1972 04:38:43.958,83.7775912040437,10.03188354657494,13.21322496648759,-91.19690696459922,0.8228030841727616
11467.69373141533,30 May 1972 04:38:58.394,82.95184051215054,10.01388130114711,13.57947566538678,-91.33958774797507,0.8648707939937452
11467.6938964605,30 May 1972 04:39:12.654,82.13663126499046,9.994121087492394,13.95897308950998,-91.48034660444267,0.9058899486247469
11467.6940573211,30 May 1972 04:39:26.553,81.34253451299647,9.972974640918304,14.34563127838715,-91.6172934245614,0.9456699278918421
